,BALBOA LAKE MGD,J GARDEN MGD,WILDLIFE LAKE MGD,SOUTH CHANNEL WEIR MGD,Datetime
121,87259.45313,-2620085.0,588733.75,8413518.0,2017-10-06 01:00:00
122,87253.1875,-2619897.0,588691.625,8412904.0,2017-10-06 02:00:00
123,87246.90625,-2619709.0,588649.375,8412290.0,2017-10-06 03:00:00
124,87240.64063,-2619521.5,588607.25,8411676.0,2017-10-06 04:00:00
125,87234.35938,-2619333.5,588565.0,8411062.0,2017-10-06 05:00:00
126,87228.09375,-2619146.0,588522.875,8410447.0,2017-10-06 06:00:00
127,87221.8125,-2618958.0,588480.625,8409833.0,2017-10-06 07:00:00
128,87215.54688,-2618770.5,588438.375,8409219.0,2017-10-06 08:00:00
129,87209.26563,-2618582.5,588396.25,8408605.0,2017-10-06 09:00:00
130,87203.0,-2618395.0,588354.0,8407991.0,2017-10-06 10:00:00
131,87196.71875,-2618207.0,588311.875,8407377.0,2017-10-06 11:00:00
132,87190.45313,-2618019.0,588269.625,8406763.0,2017-10-06 12:00:00
133,87184.17188,-2617831.5,588227.5,8406148.0,2017-10-06 13:00:00
134,87177.90625,-2617643.5,588185.25,8405534.0,2017-10-06 14:00:00
135,87171.625,-2617456.0,588143.125,8404920.0,2017-10-06 15:00:00
136,87165.35938,-2617268.0,588100.875,8404306.0,2017-10-06 16:00:00
137,87159.07813,-2617080.5,588058.75,8403692.0,2017-10-06 17:00:00
138,87152.8125,-2616892.5,588016.5,8403078.0,2017-10-06 18:00:00
139,87146.53125,-2616705.0,587974.25,8402463.0,2017-10-06 19:00:00
140,87140.26563,-2616517.0,587932.125,8401849.0,2017-10-06 20:00:00
141,87133.98438,-2616329.0,587889.875,8401235.0,2017-10-06 21:00:00
142,87127.71875,-2616141.5,587847.75,8400621.0,2017-10-06 22:00:00
143,87121.4375,-2615953.5,587805.5,8400007.0,2017-10-06 23:00:00
144,87115.17188,-2615766.0,587763.375,8399393.0,2017-10-07 00:00:00
145,87108.89063,-2615578.0,587721.125,8398779.0,2017-10-07 01:00:00
146,87102.625,-2615390.5,587679.0,8398164.0,2017-10-07 02:00:00
147,87096.34375,-2615202.5,587636.75,8397550.0,2017-10-07 03:00:00
148,87090.07813,-2615015.0,587594.625,8396936.0,2017-10-07 04:00:00
149,87083.79688,-2614827.0,587552.375,8396322.0,2017-10-07 05:00:00
150,87077.53125,-2614639.0,587510.125,8395708.0,2017-10-07 06:00:00
151,87071.25,-2614451.5,587468.0,8395094.0,2017-10-07 07:00:00
152,87064.98438,-2614263.5,587425.75,8394479.0,2017-10-07 08:00:00
153,87058.70313,-2614076.0,587383.625,8393865.0,2017-10-07 09:00:00
154,87052.4375,-2613888.0,587341.375,8393251.0,2017-10-07 10:00:00
155,87046.15625,-2613700.5,587299.25,8392637.0,2017-10-07 11:00:00
156,87039.89063,-2613512.5,587257.0,8392023.0,2017-10-07 12:00:00
157,87033.60938,-2613324.5,587214.875,8391409.0,2017-10-07 13:00:00
158,87027.34375,-2613137.0,587172.625,8390795.0,2017-10-07 14:00:00
159,87021.0625,-2612949.0,587130.375,8390180.0,2017-10-07 15:00:00
160,87014.79688,-2612761.5,587088.25,8389566.0,2017-10-07 16:00:00
161,87008.51563,-2612573.5,587046.0,8388952.0,2017-10-07 17:00:00
162,87002.25,-2612386.0,587003.875,8388338.0,2017-10-07 18:00:00
163,86995.96875,-2612198.0,586961.625,8387724.0,2017-10-07 19:00:00
164,86989.70313,-2612010.5,586919.5,8387109.5,2017-10-07 20:00:00
165,86983.42188,-2611822.5,586877.25,8386495.5,2017-10-07 21:00:00
166,86977.15625,-2611634.5,586835.125,8385881.5,2017-10-07 22:00:00
167,86970.875,-2611447.0,586792.875,8385267.0,2017-10-07 23:00:00
168,86964.60938,-2611259.0,586750.75,8384653.0,2017-10-08 00:00:00
169,86958.32813,-2611071.5,586708.5,8384039.0,2017-10-08 01:00:00
